Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Panel Moulding Clips,18906PK,"25/64"" (10mm) Hole Size 22.50mm Stem Length 18 x 18mm Top Head Size","25/64"" (10mm) Hole Size 22.50mm Stem Length 18 x 18mm Top Head Size White Nylon With Sealer Rocker Moulding Retainers",White Nylon,15 Pcs.,Honda # 91512-TZ5-A01
Panel Moulding Clips,12541PK,"9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 20mm Flange Diameter Black Nylon Radiator Splash Shield Push Type Retainers",Black Nylon,25 Pcs.,Toyota # 90467-07214
Bumper Retainers,12483PK,"29/64"" (11.50mm) Hole Size 21mm Stem Length 23.50 x 20.00mm Head Size","29/64"" (11.50mm) Hole Size 21mm Stem Length 23.50 x 20.00mm Head Size White Nylon With Sealer",White Nylon,15 Pcs.,Honda # 71592-S5D-000
Bumper Retainers,15693PK,"15/32"" (12mm) Hole Size 19mm Stem Length 11.00 x 13.00mm Top Head Size White Nylon W/Sealer Rocker","15/32"" (12mm) Hole Size 19mm Stem Length 11.00 x 13.00mm Top Head Size White Nylon W/Sealer Rocker Pillar Exterior Trim Moulding Clips",White Nylon,10 Pcs.,Honda # 91503-S3Y-003
Bumper Retainers,11997PK,"15/32"" (12mm) Hole Size 20.00 x 20.00mm Head Size","15/32"" (12mm) Hole Size 20.00 x 20.00mm Head Size Rocker Panel Retainers",,10 Pcs.,Honda # 91513-SM4-000
Retainers Hood Seal,13244PK,"1/2"" (12.70mm) Hole Size 11mm Stem Length 21.00 x 27.00mm Head Size","1/2"" (12.70mm) Hole Size 11mm Stem Length 21.00 x 27.00mm Head Size White Nylon",White Nylon,10 Pcs.,Honda # 75306-SDA-A01; Honda
Retainers Moulding,15702PK,16mm Overall Height 7.50 x 10.00mm Top Head Size,16mm Overall Height 7.50 x 10.00mm Top Head Size White Nylon Door,White Nylon,15 Pcs.,Honda # 75306-SZA-A01
Body Side Moulding Clips,15034PK,"1/2"" (12.70mm) Hole Size 14mm Stem Length 14.00 x 15.00mm Head Size","1/2"" (12.70mm) Hole Size 14mm Stem Length 14.00 x 15.00mm Head Size Red Nylon",,10 Pcs.,Honda 75305-SH4-003
Body Side Moulding Clips,12449PK,11.00 x 10.00mm Hole Size 12mm Stem Length 6.50 x 13.00 x 18.00mm Head Size,11.00 x 10.00mm Hole Size 12mm Stem Length 6.50 x 13.00 x 18.00mm Head Size White Nylon,White Nylon,10 Pcs.,Honda # 75305-S0A-003
Retainers Hood Seal,15076PK,11.00 x 10.00mm Hole Size 15mm Stem Length 12.00 x 15.00mm Head Size,11.00 x 10.00mm Hole Size 15mm Stem Length 12.00 x 15.00mm Head Size Blue Nylon,Blue Nylon,10 Pcs.,Honda 75305-SH2-003
Retainers Moulding,15976PK,16.50mm Overall Height 9mm Width,16.50mm Overall Height 9mm Width White Nylon,White Nylon,25 Pcs.,Honda # 90666-SDA-A01
Moulding Clips,9361PK,17.50mm Overall Height 14mm Width,"17.50mm Overall Height 14mm Width Yellow Nylon Front Bumper, Fender, Trim & Quarter",Yellow Nylon,25 Pcs.,Honda # 90601-SMG-003
Body Side Moulding Clips,10790PK,13mm Width 14mm Length 13mm Height,13mm Width 14mm Length 13mm Height Natural Nylon,Natural Nylon,25 Pcs.,Honda # 75305-SHJ-003
Moulding Clips,12645PK,45.20mm Length 15.15mm Width,45.20mm Length 15.15mm Width Pink Nylon Windshield Side,,15 Pcs.,Honda # 91525-SM4-003
Retainers Moulding,16384PK,9.50mm Hole Diameter 32mm Length 22mm Width,9.50mm Hole Diameter 32mm Length 22mm Width Black Nylon Fender &,Black Nylon,25 Pcs.,Honda # 90501-SJA-A01; Honda
Retainers Moulding,18894PK,"3mm Panel Range 15mm Center of Hole to Edge Black Finish ""U"" Nuts","3mm Panel Range 15mm Center of Hole to Edge Black Engine Cover Black Finish ""U"" Nuts",Black Finish,15 Pcs.,Use With # 18854; Honda # 90673-TY2-A01
Retainers Moulding,18854PK,13mm Stem Length 20mm Head Diameter,13mm Stem Length 20mm Head Diameter Silver Finish Retainer Pins,,15 Pcs.,Use With # 18894; Honda # 90674-TY2-A01
Retainers Moulding,13395PK,20mm Width 24mm Overall Length,20mm Width 24mm Overall Length Red Nylon Belt Moulding Clips,,25 Pcs.,Honda # 91589-SV4-003
Door Moulding Retainers,18811PK,20mm Wide 36mm Length 12mm Overall Height,20mm Wide 36mm Length 12mm Overall Height Dark Blue Nylon,Blue Nylon,25 Pcs.,Honda # 91503-TR0-A01
Door Moulding Retainers,16377PK,"19/32"" (15mm) Square Hole Size              15 pcs. 12mm Stem Length 23.50mm Width","19/32"" (15mm) Square Hole Size              15 pcs. 12mm Stem Length 23.50mm Width Blue Nylon With Sealer Tail Lamp Retainers",Blue Nylon,15 pcs.,Honda # 90650-T2A-003
Door Belt Moulding Clips,18249PK,20mm Width 38mm Length,20mm Width 38mm Length Green Nylon,,25 Pcs.,Honda # 91503-SWA-A01
Retainers Moulding,9752PK,"51/64"" Width 1 5/32"" Length","51/64"" Width 1 5/32"" Length White Nylon Belt Moulding Clips 91561-S84-A01-M1, 91527-SZ3-003,91561-S84-A01",White Nylon,10 Pcs.,"Honda # 91527-SM4-003,; Honda"
Retainers Moulding,2142PK,"31/32"" Width 61/64"" Length","31/32"" Width 61/64"" Length White Nylon Belt Moulding Clips",White Nylon,10 Pcs.,Honda # 91510-SR3-003
Bumper Moulding Clips,12913PK,19.00 x 24.00mm Head Size 15mm Stem Length 40mm Overall Length,19.00 x 24.00mm Head Size 15mm Stem Length 40mm Overall Length Yellow Nylon,Yellow Nylon,15 Pcs.,Honda # 91578-T0A-003
Bumper Moulding Clips,10206PK,19mm Overall Height 8mm Stem Length 18.00 x 16.00mm Top Head Size,19mm Overall Height 8mm Stem Length 18.00 x 16.00mm Top Head Size White Nylon With Sealer Rocker Panel Moulding Retainers,White Nylon,15 Pcs.,Honda # 91514-SAA-003
Bumper Moulding Clips,13320PK,20mm Overall Width 61mm Overall Length,20mm Overall Width 61mm Overall Length Brown Nylon Drip Moulding Clips,,25 Pcs.,Honda # 73156-T0A-003
Moulding Retainers,18780PK,34mm Overall Height 40mm Overall Width,34mm Overall Height 40mm Overall Width Inter Green Moulding Clip Tan and Green Nylon,,10 Pcs.,Honda # 91519-SCV-A01
