Section,Part_Number,Size,Finish,Quantity,OEM_Number
Specialty Nuts,10053PK,#6 (3.50mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,9892PK,#6 (3.50mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,1350PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,11136PK,#8 (4.20mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5750PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,11040PK,#8 (4.20mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,13350PK,#8 (4.20mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,1510PK,#8 (4.20mm) Screw Size,Black Finish,100 Pcs.,
Flat / Speed Nuts,16076PK,#8 (4.20mm) Screw Size,,25 Pcs.,
U-Type Nuts,11954PK,#8 (4.20mm) Screw Size,Zinc Finish,50 Pcs.,
Specialty Nuts,5751PK,#10 (4.80mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5752PK,#10 (4.80mm) Screw Size,Black Finish,50 Pcs.,
Flat / Speed Nuts,11286PK,#10 (4.80mm) Screw Size,Zinc Finish,50 Pcs.,
Flat / Speed Nuts,13301PK,#10 (4.80mm) Screw Size,Zinc Finish,50 Pcs.,
Flat / Speed Nuts,11915PK,#10 (4.80mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,13434PK,#10 (4.80mm) Screw Size,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,17089PK,5 - 1.81mm Screw Size,,50 Pcs.,
Flat / Speed Nuts,10246PK,5 - 1.81 x 20mm,Black Finish,100 Pcs.,"Honda 90103-SDA-A00, 90103-TA0-000"
Flat / Speed Nuts,18881PK,#14 (6-1.81mm) Screw Size 1.50mm Panel Range,Zinc Finish,,
Flat / Speed Nuts,1192PK,#14 (6.30mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,5753PK,#14 (6.30mm) Screw Size,Black Finish,25 Pcs.,
Flat / Speed Nuts,9866PK,8-32 Screw Size                               25 P,Black Finish,25 Pcs.,
Flat / Speed Nuts,9897PK,10-24 Screw Size                             100 P,Black Finish,100 Pcs.,
Flat / Speed Nuts,9848PK,1/4-20 Screw Size                            100 P,Black Finish,100 Pcs.,
U-Type Nuts,938PK,10-24 Screw Size                              50 P,Black Finish,50 Pcs.,
U-Type Nuts,938ZPK,10-24 Screw Size                              50 P,Zinc Finish,50 Pcs.,
U-Type Nuts,2969PK,1/4-20 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,2969ZYPK,1/4-20 Screw Size                             25 P,Zinc Finish,25 Pcs.,
U-Type Nuts,5480PK,1/4-20 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,1836PK,5/16-18 Screw Size                            25 P,Black Finish,25 Pcs.,
U-Type Nuts,5412PK,3/8-16 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,5466PK,3/8-16 Screw Size                             25 P,Black Finish,25 Pcs.,
U-Type Nuts,16095PK,6-1.00mm Screw Size,,25 Pcs.,
U-Type Nuts,16990PK,4.50mm Stud Size,Zinc Finish,15 Pcs.,
U-Type Nuts,16991PK,"11/64"" (4.50mm) Hole Size                     1",Black Finish,10 Pcs.,V.W. # 8K0-805-121
U-Type Nuts,13254PK,6mm Stud Size,Zinc Finish,10 Pcs.,
Flat / Speed Nuts,1655PK,8mm Bolt Size,Zinc Finish,100 Pcs.,
Flat / Speed Nuts,13253PK,"9/32"" (7mm) Hole Size",Black Finish,10 Pcs.,V.W. # 8D0-805-121B
Specialty Nuts,15730PK,5mm Stud Size,,25 Pcs.,
Retainer Nuts,13260PK,5-2.12x19mm,Black Finish,25 Pcs.,"V.W. # N90892001, N90775001"
Retainer Nuts,10937PK,5mm Torx Screw Size,Zinc Finish,25 Pcs.,
Retainer Nuts,13256PK,5-2.12 Screw Size                             25 P,Zinc Finish,25 Pcs.,
Specialty Nuts,17932PK,14mm Hex Size,Black Nylon,15 Pcs.,
Specialty Nuts,15868PK,8.50mmx11.00mm Hole Size,Black Nylon,5 Pcs.,Chrysler # 6510123AA I
U-Type Nuts,11981PK,#8 (4.20-1.41mm) Screw Size,,25 Pcs.,
U-Type Nuts,16078PK,#8 (4.20-1.41mm) Screw Size,,25 Pcs.,
U-Type Nuts,10726PK,#8 (4.20-1.41mm) Screw Size,,50 Pcs.,
U-Type Nuts,11339PK,#8 (4.20-1.41mm) Screw Size,Black Finish,25 Pcs.,
U-Type Nuts,11043PK,#8 (4.20-1.41mm) Screw Size,,25 Pcs.,
U-Type Nuts,1021PK,4-.70mm Screw Size,Black Finish,50 Pcs.,
U-Type Nuts,12898PK,#10 (4.80mm) Screw Size,White Nylon,15 Pcs.,Nissan # 76882-0M000
U-Type Nuts,15214PK,#10 (4.80mm) Screw Size,,25 Pcs.,Mazda # B455-56-135
U-Type Nuts,18105PK,#10 (4.80mm) Screw Size,,25 Pcs.,Mazda # C274-50-133
U-Type Nuts,1601PK,#10 (4.80mm) Screw Size,Black Nylon,15 Pcs.,"G.M. # 94841226 M; Toyota # 53879-14010-A, 53879-14020, 53879-22"
U-Type Nuts,12494PK,#10 (4.80mm) Screw Size,Black Nylon,10 Pcs.,Toyota # 90179-05060
U-Type Nuts,17941PK,5.00- .80mm Screw Size,Black Nylon,10 Pcs.,
U-Type Nuts,18907PK,5.00-0.8mm Screw Size                         25,Zinc Finish,25 Pcs.,
Flat / Speed Nuts,11161PK,#12 (5.50mm) Screw Size,Black Nylon,15 Pcs.,Nissan # 63848-D0100
Flat / Speed Nuts,9530PK,#12 (5.50mm) Screw Size,Black Nylon,10 Pcs.,"Nissan # 63848-D4000, 63848D4001"
U-Type Nuts,15729PK,#12 (5.50mm) Screw Size,,25 Pcs.,G.M. # 24449408
U-Type Nuts,10123PK,5.50 x 20mm,Black Nylon,25 Pcs.,G.M. # 13144822 5 11421PK; Toyota # 90467-05114
U-Type Nuts,1012PK,5-.80mm Screw Size,Black Finish,50 Pcs.,
U-Type Nuts,12893PK,5-.80mm Screw Size,Black Finish,50 Pcs.,
U-Type Nuts,18893PK,6-1.00 Screw Size                              25,Black Finish,25 Pcs.,Hyundai # 13341-06007-B K
U-Type Nuts,16369PK,6-1.00 Screw Size                              25,Black Nylon,25 Pcs.,
U-Type Nuts,16400PK,6-1.00mm Screw Size,Zinc Finish,15 Pcs.,
U-Type Nuts,16365PK,6-1.00 Screw Size                              15,,15 Pcs.,
U-Type Nuts,16328PK,6-1.00 Screw Size                           10 Pcs,Zinc Finish,10 Pcs.,
U-Type Nuts,16079PK,6-1.00mm Screw Size                         25,,25 Pcs.,
Specialty Nuts,10836PK,6-1.00mm Screw Size                         25,Phosphate,25 Pcs.,
U-Type Nuts,5596PK,6-1.00mm Screw Size                         25,Black Finish,25 Pcs.,
U-Type Nuts,9512PK,6-1.00mm Screw Size                         25,Black Finish,25 Pcs.,
U-Type Nuts,9949PK,6-1.00mm Screw Size                         25,,25 Pcs.,
U-Type Nuts,16081PK,6-1.00mm Screw Size                         10,,10 Pcs.,
U-Type Nuts,11030PK,6-1.00mm Screw Size                         15,,15 Pcs.,
U-Type Nuts,16471PK,6-1.00mm Screw Size                         10,,10 Pcs.,
U-Type Nuts,13432PK,6-1.00mm Screw Size                         25,Zinc Finish,25 Pcs.,
U-Type Nuts,5650PK,6-1.00mm Screw Size                         25,Black Finish,25 Pcs.,
U-Type Nuts,5559PK,6.3-1.00mm Screw Size                       25 P,Black Finish,25 Pcs.,
U-Type Nuts,10785PK,#14 (6.30mm) Screw Size,Black Nylon,25 Pcs.,Hyundai # 86825-28800
U-Type Nuts,11388PK,#14 (6.30mm) Screw Size,,15 Pcs.,"Toyota # 90467-A0018, 90467-05081, 90084-4601"
U-Type Nuts,15083PK,#14 (6.30mm) Screw Size,Black Nylon,15 Pcs.,Toyota # 90467-05138 N
U-Type Nuts,1606PK,#14 (6.30mm) Screw Size,Black Nylon,15 Pcs.,Toyota # 53879-22010
U-Type Nuts,16075PK,8-1.25mm Screw Size                         15,Zinc Finish,15 Pcs.,
U-Type Nuts,5560PK,8-1.25mm Screw Size                         25,Black Finish,25 Pcs.,
U-Type Nuts,5557PK,8-1.25mm Screw Size                         25,Black Finish,25 Pcs.,
U-Type Nuts,16080PK,8-1.25 Screw Size                           15 Pcs,,15 Pcs.,
U-Type Nuts,16099PK,8-1.25mm Screw Size                          5,,5 Pcs.,
U-Type Nuts,5558PK,10-1.50mm Screw Size                        25,Black Finish,25 Pcs.,
U-Type Nuts,16380PK,2.50mm Stud Size,,25 Pcs.,
Specialty Nuts,9665PK,#4 (2.80mm) Screw Size,White Nylon,10 Pcs.,Nissan # 01281-01121
Specialty Nuts,11414PK,#4 (2.90mm) Screw Size,Natural Nylon,25 Pcs.,Honda # 90866-SA0-000
Specialty Nuts,12634PK,#4 (2.90mm) Screw Size,Natural Nylon,25 Pcs.,
Specialty Nuts,2157PK,#4 (2.90mm) Screw Size,Natural Nylon,10 Pcs.,Honda # 91620-SR2-003
Specialty Nuts,11193PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,G.M. # 11589183
Specialty Nuts,16473PK,#6 (3.50mm) Screw Size,White Nylon,25 Pcs.,"Toyota # 81137-22530, 90075-10004, 81150-1A75"
Specialty Nuts,18855PK,#6 (3.50mm) Screw Size,Natural Nylon,25 Pcs.,"Hyundai # 14910-04000, 92561-25000"
Specialty Nuts,1297PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,"Chrysler # 6029501 G.M.; V.W. # 179-813-883, 155-809-966"
Specialty Nuts,9112PK,#6 (3.50mm) Screw Size,Natural Nylon,25 Pcs.,"Toyota # 90189-04011, 90189-04057"
Specialty Nuts,1978PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,Isuzu # 8941340270 T
Specialty Nuts,9873PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,G.M. # 1355003
Specialty Nuts,1227PK,#6 (3.50mm) Screw Size,Black Nylon,50 Pcs.,Ford # N-800503S
Specialty Nuts,9111PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,G.M. # 380382 M
Specialty Nuts,1202PK,#6 (3.50mm) Screw Size,Natural Nylon,50 Pcs.,G.M. # 14032291
Specialty Nuts,637PK,#6 (3.50mm) Screw Size,Natural Nylon,100 Pcs.,G.M. # 1377030
Specialty Nuts,9085PK,#6 (3.50mm) Screw Size,White Nylon,50 Pcs.,G.M. # 1254815
Specialty Nuts,15148PK,#6 (3.50mm) Screw Size,Natural Nylon,25 Pcs.,Nissan # 96706-H2500
Specialty Nuts,11147PK,#6 (3.50mm) Screw Size,,10 Pcs.,
Specialty Nuts,9591PK,#6 (3.50mm) Screw Size,Natural Nylon,25 Pcs.,"Honda # 90662-693-0030, 90662-693-003, 90662-"
Specialty Nuts,17939PK,#6 (3.50mm) Screw Size,White Nylon,25 Pcs.,Hyundai # 86518-3M000
Specialty Nuts,10619PK,#6 (3.50mm) Screw Size,,10 Pcs.,Nissan # 76848-50Y00
Specialty Nuts,13344PK,#6 (3.50mm) Screw Size,Black Nylon,25 Pcs.,
Specialty Nuts,1636PK,#6 (3.50mm) Screw Size,Natural Nylon,25 Pcs.,Honda # 90672-671-8110M1 T
Specialty Nuts,10715PK,#6 (3.50mm) Screw Size,Black Nylon,15 Pcs.,Ford # W712160-S300
Specialty Nuts,2156PK,#6 (3.50mm) Screw Size,Natural Nylon,15 Pcs.,Nissan # 01281-00501
Specialty Nuts,1407PK,#6 (3.50mm) Screw Size,Black Nylon,25 Pcs.,Chrysler # 6031869 G.M.
Specialty Nuts,16359PK,4mm Screw Size,,15 Pcs.,Honda # 90656-SJK-J01
Specialty Nuts,11863PK,#6 to #8 Screw Size,Black Nylon,25 Pcs.,
Specialty Nuts,18794PK,#8 (4.20mm) Screw Size,White Nylon,25 Pcs.,Ford # W711612-S300
Specialty Nuts,11185PK,#8 (4.20mm) Screw Size,,15 Pcs.,"Honda # 90651-SL9-013, 90651-SL9-0130"
Specialty Nuts,10993PK,#8 (4.20mm) Screw Size                    1,Black Nylon,15 Pcs.,Honda # 90107-SOX-A01
Specialty Nuts,15038PK,#8 (4.20mm)Screw Size                     5,Black Nylon,50 Pcs.,Honda # 75522-611-000 M
Specialty Nuts,1577PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,"Honda # 75522-611-000, 75522-611-0000 M; Nissan # 96706-B0700, 97606-B0700 T"
Specialty Nuts,2940PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,G.M. # 14013246
Specialty Nuts,9050PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,
Specialty Nuts,12902PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,Toyota # 90189-04014
Specialty Nuts,1574PK,#8 (4.20mm) Screw Size                   10,Natural Nylon,100 Pcs.,"G.M. # 3919773, 22649878, 22649879"
Specialty Nuts,2980PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,"G.M. # 3893980, 347347"
Specialty Nuts,1997PK,#8 (4.20mm) Screw Size,Black Nylon,25 Pcs.,G.M. # 3997391 V.W.
Specialty Nuts,11143PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,
Specialty Nuts,16399PK,"23/64"" (9mm) Hole Size                      25",,25 Pcs.,Toyota # 90189-06238
Specialty Nuts,12667PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,G.M. # 9669486 R
Specialty Nuts,9113PK,#8 (4.20mm) Screw Size,Natural Nylon,100 Pcs.,Chrysler # 6000943 R
Specialty Nuts,12465PK,#8 (4.20mm) Screw Size,White Nylon,50 Pcs.,Honda # 34301-692A-0000
Specialty Nuts,9683PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,
Specialty Nuts,11898PK,#8 (4.20mm) Screw Size,Black Nylon,25 Pcs.,
Specialty Nuts,10783PK,#8 (4.20mm) Screw Size,White Nylon,15 Pcs.,Hyundai #87756-3D000
Specialty Nuts,10922PK,#8 (4.20mm) Screw Size                    1,,15 Pcs.,V.W. # 1J0-853-120
Specialty Nuts,10636PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,
Specialty Nuts,9688PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,Nissan # 01281-00831
Specialty Nuts,18856PK,#8 (4.20mm) Screw Size                    2,Black Nylon,25 Pcs.,Chrysler # 6035401
Specialty Nuts,10548PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,Chrysler # 6035401
Specialty Nuts,10668PK,#8 (4.20mm) Screw Size                    1,,15 Pcs.,Chrysler # 6505703AA
Specialty Nuts,12021PK,#8 (4.20mm) Screw Size                    2,Black Nylon,25 Pcs.,Chrysler # 6033677 F
Specialty Nuts,1842PK,#8 (4.20mm) Screw Size                    5,Natural Nylon,50 Pcs.,Ford # 379830-S
Specialty Nuts,10553PK,#8 (4.20mm) Screw Size                    2,Black Nylon,25 Pcs.,Chrysler # 6035821 G.M.
Specialty Nuts,10918PK,#8 (4.20mm) Screw Size,Black Nylon,25 Pcs.,V.W. # 811-807-577C
Specialty Nuts,10556PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,Ford # W710362 5 9681PK        G.M.; Hyundai # 87759-3S000
Specialty Nuts,11264PK,#8 (4.20mm) Screw Size,Black Nylon,25 Pcs.,Honda # 90682-SEA-003
Specialty Nuts,15308PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,V.W. # 165-827-592
Specialty Nuts,12478PK,#8 (4.20mm) Screw Size,Black Nylon,15 Pcs.,V.W. # N908-338-01
Specialty Nuts,10384PK,#8 (4.20mm) Screw Size,White Nylon,10 Pcs.,"Ford # N807189-S100, N811353-S100"
Specialty Nuts,10779PK,#8 (4.20mm) Screw Size,White Nylon,25 Pcs.,Hyundai #87758-37000
Specialty Nuts,10617PK,#8 (4.20mm) Screw Size,Natural Nylon,25 Pcs.,Nissan # 71144-SR3-A00
Specialty Nuts,11281PK,#8 (4.20mm) Screw Size                    1,Natural Nylon,10 Pcs.,Honda # 90664-SB3-003
Specialty Nuts,9659PK,#8 (4.20mm) Screw Size                    1,White Nylon,10 Pcs.,Mazda # GJ6A-58-975
Specialty Nuts,18825PK,4.2-1.41 Screw Size                       25 Pcs.,Black Nylon,25 Pcs.,Chrysler # 68224180AC
Specialty Nuts,11028PK,#8 (4.20mm) Screw Size                    1,Natural Nylon,10 Pcs.,Nissan # 01281-00711
Specialty Nuts,11202PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,G.M. # 11561847
Specialty Nuts,10658PK,#8 (4.20mm) Screw Size                    1,Natural Nylon,15 Pcs.,"Honda # 90370-SG0-003, 91626-SH3-003"
Specialty Nuts,12725PK,#8 (4.20mm) Screw Size                    1,Black Nylon,15 Pcs.,"Toyota # 90189-04008, 90467-12096, 94841130"
Specialty Nuts,10772PK,#8 (4.20mm) Screw Size                    2,,25 Pcs.,Hyundai #87759-27000
Specialty Nuts,13318PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,
Specialty Nuts,1572PK,#8 (4.20mm) Screw Size                    2,Natural Nylon,25 Pcs.,"Honda # 90661-SC7-0030, 90661-SC7-003 M; Nissan # 01651-00481, 74798-S90000, 01281-002"
Specialty Nuts,11994PK,#8 (4.20mm) Screw Size                    2,Black Nylon,25 Pcs.,"Ford # W708580-S300 I   10552PK; Ford # W705590-S300, W710459-S300 G.M."
Specialty Nuts,10943PK,#8 (4.20mm) Screw Size                    2,Black Nylon,25 Pcs.,V.W. # 4A0-857-610
