Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers,10570PK,"9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter","9/32"" (7mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon Fender Splash Shield Push Type Retainers",Black Nylon,10 Pcs.,Suzuki # 09409-07332; Toyota# 90467-07164
Bumper Push Type Retainers,12916PK,"23/64"" (9mm) Hole Size 12mm Stem Length 16mm Flange Diameter","23/64"" (9mm) Hole Size 12mm Stem Length 16mm Flange Diameter Black Nylon",Black Nylon,15 Pcs.,G.M. # 30008324; Suzuki # 09409-07325
Push Type Retainers,10410PK,"9/32"" (7mm) Hole Size 14mm Stem Length 11 mm Flange Diameter","9/32"" (7mm) Hole Size 14mm Stem Length 11 mm Flange Diameter Black Nylon",Black Nylon,10 Pcs.,"G.M. # 96057847, 94847334; Suzuki # 09409-07313, 90467-07313; Toyota# 90467-07066, 90467-07066-J0"
Push Type Retainers,10392PK,"23/64"" (9mm) Hole Size 9mm Stem Length 18mm Head Diameter","23/64"" (9mm) Hole Size 9mm Stem Length 18mm Head Diameter White Nylon With Sealer Rocker Panel Moulding Clips",White Nylon,15 Pcs.,Suzuki # 77553-65D00; Toyota # 90467-11063
