Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Barrel Nuts,9878PK,"3/16"" Stud Size 17/64"" Hole Size","3/16"" Stud Size 17/64"" Hole Size Black Nylon",Black Nylon,100 Pcs.,Ford# D?VY-6050074-A; Renault# 8934-201-767
Barrel Nuts,12667PK,8.50mm Stem Length 9.70mm Head Diameter 6.50 x 7.50mm Hole Size Screw Grommets,8.50mm Stem Length 9.70mm Head Diameter 6.50 x 7.50mm Hole Size Natural Nylon With Sealer Screw Grommets,Natural Nylon,25 Pcs.,#8 (4.20mm) Screw Size; G.M. # 9669486; Renault# 8934-201-262
Barrel Nuts,9113PK,9mm Stem Length 10mm Head Diameter 7mm Hole Size Screw Grommet,9mm Stem Length 10mm Head Diameter 7mm Hole Size Natural Nylon Radiator Grille Screw Grommet,Natural Nylon,100 Pcs.,#8 (4.20mm) Screw Size; Chrysler # 6000943; Renault# 8934-201-263
Push Type Retainer,12540PK,"13/64"" (5mm) Hole Size 11 mm Stem Length 10mm Flange Size","13/64"" (5mm) Hole Size 11 mm Stem Length 10mm Flange Size Black Nylon Rocker Panel",Black Nylon,50 Pcs.,BMW# 51161-881-149; I             Chrysler # 5073327AA; Citroen# 7903072170; Mercedes # 000-990-34-92; Renault# 7703072116; V.W. # N102-593-01
