Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Nuts Nylon,10659PK,10mm Stem Length 16mm Head Diameter 9mm Hole Size Screw Grommets,10mm Stem Length 16mm Head Diameter 9mm Hole Size Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,#10 (4.80mm) Screw Size; Nissan # 01281-00111; Toyota # 90189-06006
Wheel Apron Thumb Drive Nuts,18831PK,"6-1.00mm Thread Size 25/64"" (10mm) Hole Size 18mm Flange Diameter 10mm Height","6-1.00mm Thread Size 25/64"" (10mm) Hole Size 18mm Flange Diameter 10mm Height Black Nylon",Black Nylon,25 Pcs.,Toyota # 90467-06169
Grille Screw Grommets,1560PK,11mm Stem Length 12mm Head Size 8.00 x 9.00mm Hole Size,11mm Stem Length 12mm Head Size 8.00 x 9.00mm Hole Size Natural Nylon,Natural Nylon,50 Pcs.,"#10 (4.80mm) Screw Size; G.M. # 94841764; Mitsubishi # MS480002, MS480009; Toyota # 90189-05013"
Nuts Nylon,1576PK,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Screw Grommets,17mm Stem Length 18mm Head Diameter 8.50mm Hole Diameter Natural Nylon Screw Grommets,Natural Nylon,25 Pcs.,"#10 (4.80mm) Screw Size; Mitsubishi # MB-098145; Nissan # 01281-00023, 01281-00231; Toyota # 90189-06001, 96706-U0100; Toyota"
Nuts Nylon,10745PK,9mm Stem Length 17.00 x 30.00mm Head Diameter Front Bumper Screw Grommets,9mm Stem Length 17.00 x 30.00mm Head Diameter Black Nylon Front Bumper Screw Grommets,Black Nylon,5 Pcs.,"#12 (5.50-6mm) Screw Size; Toyota # 52535-50060, 52535-0E010"
Nuts Nylon,10794PK,10mm Stem Length 14.00 x 16.00mm Head Size 9.00 x 11.00mm Hole Size Front Bumper Screw Grommets,10mm Stem Length 14.00 x 16.00mm Head Size 9.00 x 11.00mm Hole Size White Nylon Front Bumper Screw Grommets,White Nylon,25 Pcs.,"#12 (5.50mm) Screw Size; Toyota # 90189-06193, 90189-06237"
Nuts Nylon,12073PK,10mm Stem Length 17mm Head Diameter 9mm Square Hole Size Rocker & Floor Screw Grommets,10mm Stem Length 17mm Head Diameter 9mm Square Hole Size Black Nylon Rocker & Floor Screw Grommets,Black Nylon,25 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06211
Fender Liner Screw Grommets,10988PK,9mm Hole Size 18mm Stem Length 16mm Head Diameter,9mm Hole Size 18mm Stem Length 16mm Head Diameter Black Nylon,Black Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06214
Fender Liner Screw Grommets,9912PK,8mm Square Hole Size 19mm Stem Length 16mm Head Diameter,8mm Square Hole Size 19mm Stem Length 16mm Head Diameter Black Nylon Front & Rear Wheel,Black Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06028
Fender Liner Screw Grommets,15812PK,9mm Square Hole Size 17mm Stem Length 20mm Head Diameter Screw Grommets,9mm Square Hole Size 17mm Stem Length 20mm Head Diameter Black Nylon Screw Grommets,Black Nylon,25 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-A0002
Fender Liner Screw Grommets,18164PK,9mm Hole Diameter 17mm Stem Length 20mm Flange Diameter,9mm Hole Diameter 17mm Stem Length 20mm Flange Diameter Black Nylon,Black Nylon,25 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06236
Fender Liner Screw Grommets,16470PK,17mm Stem Length 18mm Head Diameter 9mm Hole Size Rear Door Screw Grommets,17mm Stem Length 18mm Head Diameter 9mm Hole Size Natural Nylon With Sealer Rear Door Screw Grommets,Natural Nylon,10 Pcs.,"#12 (5.50mm) Screw Size; Hyundai # 86910-22000; Toyota # 90189-06029, 90189-06084,"
Nuts Nylon,11389PK,9mm Hole Size 18mm Stem Length 20mm Head Diameter,9mm Hole Size 18mm Stem Length 20mm Head Diameter Black Nylon,Black Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06065; Toyota
Fender Liner Screw Grommets,9913PK,8mm Square Hole Size 22mm Stem Length 20mm Head Diameter,8mm Square Hole Size 22mm Stem Length 20mm Head Diameter Black Nylon,Black Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06157
Fender Liner Screw Grommets,12502PK,22mm Stem Length 20mm Head Diameter 9mm Square Hole Size Rocker Moulding Screw Grommets,22mm Stem Length 20mm Head Diameter 9mm Square Hole Size Black Nylon Rocker Moulding Screw Grommets,Black Nylon,15 Pcs.,#12 (5.50mm) Screw Size; Toyota # 90189-06177
Fender Liner Screw Grommets,1608PK,8mm Hole Size 16mm Stem Length 18mm Head Diameter Screw Grommets,8mm Hole Size 16mm Stem Length 18mm Head Diameter White Nylon Screw Grommets,White Nylon,50 Pcs.,#14 (6.30-1.81) Screw Size; Toyota # 90189-06005
Fender Liner Screw Grommets,1605PK,8mm Square Hole Size 17mm Stem Length 20mm Head Diameter Screw Grommets,8mm Square Hole Size 17mm Stem Length 20mm Head Diameter Black Nylon Screw Grommets,Black Nylon,25 Pcs.,"#14 (6.30mm) Screw Size; Toyota # 90189-06013, 96706-W100"
Fender Liner Screw Grommets,13437PK,16.00 x 18.00mm Head Size 19mm Stem Length Side Bracket Screw Grommets,16.00 x 18.00mm Head Size 19mm Stem Length Black Nylon Bumper Side Bracket Screw Grommets,Black Nylon,15 Pcs.,#14 (6.30mm) Screw Size; Toyota # 52197-22020
Fender Liner Screw Grommets,9079PK,"23/64"" (9mm) Hole Size 15mm Stem Length 18mm Head Diameter Front Fender Screw Grommets","23/64"" (9mm) Hole Size 15mm Stem Length 18mm Head Diameter White Nylon Front Fender Screw Grommets",White Nylon,15 Pcs.,Toyota # 90189-06114
Bumper Cover W/Sealer,17086PK,"23/64"" (9mm) Square Hole Size 17mm Stem Length 18mm Flange Size Screw Grommets","23/64"" (9mm) Square Hole Size 17mm Stem Length 18mm Flange Size Yellow Nylon Screw Grommets",Yellow Nylon,25 Pcs.,Toyota # 52188-33040
