Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Door Trim Panel,9959PK,"13/64"" Rod Size 15/64"" Hole Size","13/64"" Rod Size 15/64"" Hole Size Right Hand Side Natural Nylon Door Lock Rod Clips",Natural Nylon,25 Pcs.,"Chrysler # 5257478, 4658676; G.M. # 16630688"
Retainers Door Trim Panel,10649PK,"9/32"" (7mm) Hole Size 14.60mm Stem Length 15mm Top Head Diameter","9/32"" (7mm) Hole Size 14.60mm Stem Length 15mm Top Head Diameter Yellow Nylon Door Trim Panel Retainers",,50 Pcs.,"Chrysler # 6507055-AA, 6507686-AA"
Retainers Door Trim Panel,2063PK,"9/32"" (7mm) Hole Size 15mm Stem Length 13mm Top Head Diameter","9/32"" (7mm) Hole Size 15mm Stem Length 13mm Top Head Diameter White Nylon Door Trim Panel Retainers",White Nylon,50 Pcs.,"Chrysler # 6504014, 6502907"
Retainers Door Trim Panel,10671PK,"9/32"" (7mm) Hole Size 15mm Stem Length 15mm Top Head Diameter","9/32"" (7mm) Hole Size 15mm Stem Length 15mm Top Head Diameter White Nylon Door Trim Panel Retainers",White Nylon,25 Pcs.,"Chrysler # 6505539-AA, 5012874AA"
Retainers Door Trim Panel,9380PK,"9/32"" (7mm) Hole Size 15mm Stem Length 15mm Top Head Diameter","9/32"" (7mm) Hole Size 15mm Stem Length 15mm Top Head Diameter Green Nylon Door Trim Panel Retainers",,50 Pcs.,Chrysler # 6503204
Retainers Door Trim Panel,9373PK,"9/32"" (7mm) Hole Size 18mm Stem Length 13mm Head Diameter","9/32"" (7mm) Hole Size 18mm Stem Length 13mm Head Diameter Black Nylon Door Trim Panel Retainers",Black Nylon,25 Pcs.,AMC # 4005099; Chrysler # 6033862; G.M. # 796255; Navistar # 0501094C1
Retainers Door Trim Panel,1024PK,"9/32"" (7mm) Hole Size 18mm Stem Length 20mm Head Diameter","9/32"" (7mm) Hole Size 18mm Stem Length 20mm Head Diameter Natural Nylon Door Trim Panel Retainers",Natural Nylon,25 Pcs.,AMC # 4005470; Chrysler # 6003349; G.M. # 9685057; Volkswagen # N98905101
Retainers Door Trim Panel,2112PK,"9/32"" (7mm) Hole Size 19mm Stem Length 12.50mm Top Head Diameter","9/32"" (7mm) Hole Size 19mm Stem Length 12.50mm Top Head Diameter Black Nylon Door Trim Panel Retainers",Black Nylon,50 Pcs.,"Chrysler # 6505878AA, 6502709; Ford # N805155-S; Chrysler"
Retainers Door Trim Panel,16382PK,"19/64"" (7.50mm) Hole Size 15mm Stem Length 22mm Top Head Diameter","19/64"" (7.50mm) Hole Size 15mm Stem Length 22mm Top Head Diameter White & Yellow With Sealer Door Panel Retainers",,25 Pcs.,Fiat # 51987227; Jeep # 6511618AA
Retainers Door Trim Panel,9379PK,"19/64"" (7.50mm) Hole Size 26mm Stem Length 13mm Top Head Diameter","19/64"" (7.50mm) Hole Size 26mm Stem Length 13mm Top Head Diameter Yellow Nylon Tail Gate & Trim Panel Retainers",,25 Pcs.,Chrysler # 6502991
