Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Torx Screw,18115PK,"5/32"" (4mm) Hole Size 23mm Stem Length 24mm Head Diameter Black Nylon T27 Torx® Drive","5/32"" (4mm) Hole Size 23mm Stem Length 24mm Head Diameter Black Nylon T27 Torx® Drive Side Sheild & Trim Retainers",Black Nylon,25 Pcs.,BMW # 07-14-7-296-886
Retainers Door Trim Panel,15979PK,"11/16"" (7mm) Hole Size 7mm Stem Length 20mm Head Diameter T10 Torx® Drive","11/16"" (7mm) Hole Size 7mm Stem Length 20mm Head Diameter T10 Torx® Drive Black Nylon Rocker Trim Wheelhouse Retainers",Black Nylon,15 Pcs.,Use With # 13372 & 13377; BMW # 07-14-7-122-913
Door Sill Retainers,16403PK,"15/64"" (6mm) Hole Size 10mm Stem Length 9.00 x 12.00mm Head Size","15/64"" (6mm) Hole Size 10mm Stem Length 9.00 x 12.00mm Head Size Yellow Nylon",Yellow Nylon,50 Pcs.,BMW # 51-47-8-244-458
Retainers Door Trim Panel,9230PK,"5/16"" (8mm) Hole Size 14mm Stem Length 14.50mm Top Head Dameter","5/16"" (8mm) Hole Size 14mm Stem Length 14.50mm Top Head Dameter Gray Nylon With Sealer",Gray Nylon,25 Pcs.,"BMW # 5141822478, 51410407983,; BMW"
Door Trim Panel Retainers,12511PK,"5/16"" (8mm) Hole Size 20mm Stem Length 19mm Head Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 19mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,BMW # 51-47-1-90-317
Door Trim Panel Retainers,13326PK,"11/32"" (8.70mm) Hole Size 12mm Stem Length 13mm Head Diameter","11/32"" (8.70mm) Hole Size 12mm Stem Length 13mm Head Diameter Black Nylon",Black Nylon,25 Pcs.,"BMW # 51498123832, 51490151605,"
Trim Panel Retainers,12463PK,"23/64"" (9mm) Hole Size 15mm Stem Length 14mm Top Head Diameter","23/64"" (9mm) Hole Size 15mm Stem Length 14mm Top Head Diameter White Nylon Door",White Nylon,50 Pcs.,BMW # 51-41-1-973-500; Mercedes # 000-991-71-71
Trim Panel Retainers,12519PK,"23/64"" (9mm) Hole Size 17mm Stem Length 11.50 x 15.00mm Head Size","23/64"" (9mm) Hole Size 17mm Stem Length 11.50 x 15.00mm Head Size Black Nylon With Sealer Interior Trim Panel Clips",Black Nylon,15 Pcs.,BMW # 07-14-7-074-343
Trim Panel Retainers,12481PK,"23/64"" (9mm) Hole Size 29mm Overall Length 11.00 x 15.00mm Head Size","23/64"" (9mm) Hole Size 29mm Overall Length 11.00 x 15.00mm Head Size White Nylon Scuﬀ Plate Retainers",White Nylon,25 Pcs.,"BMW # 51-47-1-928-808, 51-47-8-047-M9,"
Door Trim Panel Retainers,12471PK,"3/8"" (9.50mm) Hole Size 14mm Stem Length 14mm Top Head Diameter","3/8"" (9.50mm) Hole Size 14mm Stem Length 14mm Top Head Diameter Black Nylon",Black Nylon,50 Pcs.,BMW # 51-41-8-172-050; V.W. # 481-867-197
