Section,Part_Number,Size,Finish,Quantity
Phillips Oval,9490PK,"10 x 1""                         8",,50 Pcs.
Phillips Oval,1303PK,"8 x 3/4""                        6",,100 Pcs.
Phillips Oval,1642PK,"8 x 1""                       6",,50 Pcs.
Phillips Oval,10757PK,"8 x 1 1/4""                       6",,50 Pcs.
Phillips Oval,6185PK,"8 x 1/2""",Chrome Finish,50 Pcs.
Phillips Oval,5765PK,"8 x 1/2""             7/16""              Wheel",,50 Pcs.
Phillips Oval,12595PK,"8 x 3/4""             7/16""                 Do",,50 Pcs.
Phillips Oval,13031PK,"8 x 1""               7/16""                 Mo",,50 Pcs.
Phillips Oval,6010PK,"8 x 1/2""                     7/16""",,50 Pcs.
Phillips Oval,6265PK,"8 x 3/4""                     7/16""",,50 Pcs.
Phillips Oval,6267PK,"8 x 1""                      7/16""",,50 Pcs.
Phillips Oval,1695PK,4.2-1.41 x 13mm                 11mm,Black Finish,50 Pcs.
Phillips Oval,9160PK,4.2-1.41 x 20mm                 11mm,Black Finish,100 Pcs.
Phillips Oval,11164PK,4.2-1.41 x 20mm,Black Finish,50 Pcs.
Phillips Flat,5790PK,"8 x 1/2""                   13/32""",,100 Pcs.
Phillips Flat,1795PK,"8 x 3/4""               13/32""",,100 Pcs.
Phillips Flat,1796PK,"8 x 1""                 13/32""",,100 Pcs.
Phillips Flat,11415PK,"10 x 1/2""               15/32""",,100 Pcs.
Phillips Flat,15682PK,"10 x 3/4""               15/32""",,50 Pcs.
Phillips Flat,5791PK,"8 x 1/2""               13/32""               T",,100 Pcs.
Phillips Flat,5792PK,"8 x 5/8""               13/32""               T",,100 Pcs.
Phillips Flat,5984PK,"8 x 3/4""               13/32""               T",,100 Pcs.
Phillips Flat,5989PK,"8 x 1""                13/32""               Tr",,100 Pcs.
Phillips Flat,5990PK,"8 x 1 1/4""              13/32""",,50 Pcs.
Phillips Flat,10632PK,"8 x 1 1/2""              13/32""",,50 Pcs.
Phillips Flat,10723PK,"10 x 1/2""               15/32""",,100 Pcs.
Phillips Flat,9497PK,"10 x 3/4""               15/32""",,50 Pcs.
Phillips Flat,9498PK,"10 x 1""                15/32""               T",,50 Pcs.
Phillips Flat,10631PK,"10 x 1 1/4""              15/32""",,50 Pcs.
Phillips Flat,11332PK,"8 x 5/8""               31/64""               T",,100 Pcs.
Phillips Flat,10725PK,"8 x 1/2""                1/2""                T",,100 Pcs.
Phillips Flat,2970PK,"8 x 3/4""                1/2""                T",,100 Pcs.
Phillips Flat,2975PK,"8 x 1""                 1/2""                Tr",,100 Pcs.
Phillips Flat,9205PK,"10 x 1/2""                1/2""",,100 Pcs.
Phillips Flat,9145PK,"10 x 3/4""                1/2""",,50 Pcs.
Phillips Flat,9146PK,"10 x 1""                 1/2""                T",,50 Pcs.
Phillips Flat,5970PK,"8 x 3/4""                 1/2""",,100 Pcs.
Phillips Flat,5975PK,"8 x 1""                 1/2""                Tr",,100 Pcs.
Phillips Flat,11027PK,"8 x 1/2""                                  100",Black Finish,100 Pcs.
Phillips Flat,11153PK,4.2-1.40 x 1mm,Black Finish,50 Pcs.
Phillips Flat,13169PK,"12 x 1 1/2""                                50",Stainless,50 Pcs.
Washer Head,12905PK,"8 x 7/16"" Phillips PoziDriv®",Chrome Finish,50 Pcs.
Washer Head,15518PK,"#2 Size 1/4"" Hex",Chrome Finish,5 Pcs.
Washer Head,9161PK,4.2-1.41 x 12mm,Chrome Finish,100 Pcs.
Washer Head,13114PK,4.2-1.41 x 10mm,,100 Pcs.
Washer Head,17609PK,4.2-1.41 x 25mm,,50 Pcs.
Phillips Truss,9256PK,4.8-1.61 x 15mm,Black Finish,50 Pcs.
Phillips Truss,10763PK,4.8-1.61 x 16mm,Zinc Finish,100 Pcs.
Phillips Truss,10692PK,4.8-2.12 x 20mm,Black Finish,50 Pcs.
Phillips Truss,9260PK,6.3-1.81 x 16mm,Black Finish,50 Pcs.
Phillips Truss,15752PK,6.5-1.81 x 18mm,Black Finish,25 Pcs.
Phillips Truss,15753PK,6.5-1.81 x 25mm,Black Finish,25 Pcs.
Phillips Truss,10096PK,4.8-1.61 x 19mm,Black Finish,25 Pcs.
Phillips Flat,10246PK,5-1.81 x 20mm,Black Finish,100 Pcs.
Washer Head,12647PK,"8 x 1/2""                                   10",Zinc Finish,100 Pcs.
Phillips Truss,15374PK,"#10 x 1/2""                                  5",Stainless,50 Pcs.
Phillips Truss,13412PK,"#10 x 3/4""                                  5",Stainless,50 Pcs.
Phillips Truss,12106PK,"#12 x 3/4""                                  5",Stainless,50 Pcs.
Phillips Truss,13362PK,4.2-1.41 x 16mm,Black Finish,100 Pcs.
Phillips Truss,12904PK,4.8-1.61 x 16mm,Black Finish,100 Pcs.
Screws,9700PK,"8 x 3"" Phillips Bugle Head",,50 Pcs.
Phillips Pan,482PK,"6 x 1/4""                              Sheet M",,100 Pcs.
Phillips Pan,10157PK,"6 x 1/2""                              Sheet M",,100 Pcs.
Phillips Pan,485PK,"6 x 3/4""                              Sheet M",,100 Pcs.
Phillips Pan,486PK,"6 x 1""                               Sheet Me",,100 Pcs.
Phillips Pan,487PK,"6 x 1 1/4""                             Sheet",,100 Pcs.
Phillips Pan,489PK,"8 x 1/2""                              Sheet M",,100 Pcs.
Phillips Pan,492PK,"8 x 3/4""                              Sheet M",,100 Pcs.
Phillips Pan,493PK,"8 x 1""                               Sheet Me",,100 Pcs.
Phillips Pan,10052PK,"8 x 1 1/4""                             Sheet",,100 Pcs.
Phillips Pan,494PK,"8 x 1 1/2""                             Sheet",,100 Pcs.
Phillips Pan,495PK,"10 x 1/2""                              Sheet",,100 Pcs.
Phillips Pan,496PK,"10 x 3/4""                              Sheet",,100 Pcs.
Phillips Pan,497PK,"10 x 1""                               Sheet M",,100 Pcs.
Phillips Pan,10158PK,"10 x 1 1/4""                             Sheet",,100 Pcs.
Phillips Pan,498PK,"10 x 1 1/2""                             Sheet",,100 Pcs.
Phillips Pan,499PK,"12 x 1/2""                              Sheet",,100 Pcs.
Phillips Pan,500PK,"12 x 3/4""                              Sheet",,100 Pcs.
Phillips Pan,501PK,"12 x 1""                               Sheet M",,100 Pcs.
Phillips Pan,10159PK,"12 x 1 1/4""                             Sheet",,100 Pcs.
Phillips Pan,10160PK,"12 x 1 1/2""                             Sheet",,100 Pcs.
Phillips Pan,502PK,"14 x 1/2""                              Sheet",,100 Pcs.
Phillips Pan,12459PK,"14 x 5/8""                              Sheet",,100 Pcs.
Phillips Pan,503PK,"14 x 3/4""                              Sheet",,100 Pcs.
Phillips Pan,504PK,"14 x 1""                               Sheet M",,100 Pcs.
Phillips Pan,10161PK,"14 x 1 1/4""                             Sheet",,100 Pcs.
Phillips Pan,10162PK,"14 x 1 1/2""                             Sheet",,100 Pcs.
Phillips Pan,505PK,"14 x 1 3/4""                             Sheet",,100 Pcs.
Phillips Pan,506PK,"14 x 2""                               Sheet M",,100 Pcs.
Phillips Pan,9213PK,"14 x 2 1/2""                             Sheet",,50 Pcs.
Phillips Pan,10101PK,"6 x 1/2""                                  She",,100 Pcs.
Phillips Pan,10102PK,"6 x 3/4""                                  She",,100 Pcs.
Phillips Pan,10103PK,"6 x 1""                                    She",,100 Pcs.
Phillips Pan,10104PK,"6 x 1 1/4""                                 Sh",,100 Pcs.
Phillips Pan,1623PK,"8 x 1/2""                                  She",,100 Pcs.
Phillips Pan,1624PK,"8 x 3/4""                                  She",,100 Pcs.
Phillips Pan,1625PK,"8 x 1""                                    She",,100 Pcs.
Phillips Pan,10105PK,"8 x 1 1/4""                                 Sh",,100 Pcs.
Phillips Pan,1626PK,"8 x 1 1/2""                                 Sh",,50 Pcs.
Phillips Pan,1722PK,"10 x 1/2""                                  Sh",,100 Pcs.
Phillips Pan,1723PK,"10 x 3/4""                                  Sh",,100 Pcs.
Phillips Pan,1724PK,"10 x 1""                                   She",,50 Pcs.
Phillips Pan,1725PK,"10 x 1 1/4""                                 S",,50 Pcs.
Phillips Pan,1726PK,"10 x 1 1/2""                                 S",,50 Pcs.
Phillips Pan,1964PK,"8 x 1/2""",,100 Pcs.
Phillips Pan,1965PK,"8 x 3/4""",,100 Pcs.
Phillips Pan,1966PK,"8 x 1""",,100 Pcs.
Phillips Pan,1967PK,"10 x 1/2""",,100 Pcs.
Phillips Pan,1968PK,"10 x 3/4""",,100 Pcs.
Phillips Pan,1969PK,"10 x 1""",,100 Pcs.
Phillips Pan,12209PK,"8 x 1/2""",,100 Pcs.
Phillips Pan,12210PK,"8 x 3/4""",,100 Pcs.
Phillips Pan,12211PK,"8 x 1""",,50 Pcs.
Phillips Pan,12212PK,"10 x 1/2""",,50 Pcs.
Phillips Pan,12213PK,"10 x 3/4""",,50 Pcs.
Phillips Pan,12214PK,"10 x 1""",,50 Pcs.
Phillips Pan,9871PK,"8 x 3/4""",Black Finish,50 Pcs.
Phillips Pan,10365PK,4.2-1.41 x 20mm,Black Finish,50 Pcs.
Phillips Flat,9870PK,"4-24 x 3/8""                                 1",,100 Pcs.
Phillips Oval,1810PK,"8 x 3/8""                                    1",Zinc Finish,100 Pcs.
Washer Head,552PK,"8-18 x 7/16""                                1",Zinc Finish,100 Pcs.
Washer Head,9856PK,"8 x 5/8""                                    1",Chrome Finish,100 Pcs.
Washer Head,9244PK,"8 x 7/16""                                   1",Zinc Finish,100 Pcs.
Torx,7002PK,4.2-1.41 x 20mm,Chrome Finish,50 Pcs.
Torx,7004PK,4.2-1.41 x 30mm,Chrome Finish,50 Pcs.
Torx,7001PK,4.2-1.41 x 20mm,,50 Pcs.
Torx,7005PK,4.2-1.41 x 30mm,Black Finish,50 Pcs.
Torx,7006PK,4.2-1.41 x 25mm,Chrome Finish,50 Pcs.
Torx,7007PK,4.2-1.41 x 25mm,Black Finish,50 Pcs.
Torx,13421PK,4.2-1.41 x 20mm,,50 Pcs.
Torx,17930PK,5-2.20 x 20mm,Black Finish,15 Pcs.
Torx,18347PK,4.20-1.41 x 16.00mm,,50 Pcs.
Torx,18315PK,4.20-1.41 x 20.00mm,Black Finish,50 Pcs.
Torx,18815PK,4.20-1.41 x 20.00mm,Black Finish,25 Pcs.
Torx,13435PK,4.8-1.61 x 18mm,Black Finish,25 Pcs.
Torx,18853PK,5-2.12 x 16.00mm,Black Finish,25 Pcs.
Torx,13260PK,5-2.12 x 19mm,Black Finish,25 Pcs.
Torx,10123PK,5.50 x 20mm,Zinc Finish,25 Pcs.
Hex Head,18852PK,6-1.00 x 25.00mm,Black Finish,25 Pcs.
Hex Head,18277PK,4.8-1.61 x 20.00mm,Black Finish,25 Pcs.
Hex Head,15025PK,5.2-2.00 x 21mm,Zinc Finish,25 Pcs.
Hex Head,11867PK,5-1.59 x 16mm,Black Finish,50 Pcs.
Hex Head,10986PK,5-1.59 x 18mm,Black Finish,25 Pcs.
Hex Head,18882PK,5-1.59 x 20mm,Black Finish,50 Pcs.
Hex Head,18880PK,5-1.59 x 20mm,Black Finish,50 Pcs.
Hex Head,13374PK,5.2-2 x 20mm,Black Finish,25 Pcs.
Hex Head,10694PK,6.3-1.81 x 20mm                          50,Black Finish,50 Pcs.
Hex Head,10695PK,6.3-1.81 x 20mm                          50,Black Finish,50 Pcs.
Hex Head,13378PK,6.50-2.50 x 19mm                         25,Black Finish,25 Pcs.
Slotted,10177PK,"6 x 1/2""                  1/4""",,100 Pcs.
Slotted,10178PK,"6 x 3/4""                  1/4""",,100 Pcs.
Slotted,10179PK,"8 x 1/2""                  1/4""",,100 Pcs.
Slotted,10180PK,"8 x 3/4""                  1/4""",,100 Pcs.
Slotted,10181PK,"8 x 1""                   1/4""",,100 Pcs.
Slotted,10182PK,"8 x 1 1/4""                 1/4""",,100 Pcs.
Slotted,12232PK,"8 x 1 1/2""                 1/4""",,100 Pcs.
Slotted,10183PK,"10 x 1/2""                5/16""",,100 Pcs.
Slotted,10184PK,"10 x 3/4""                5/16""",,100 Pcs.
Slotted,10185PK,"10 x 1""                  5/16""",,100 Pcs.
Slotted,10186PK,"10 x 1 1/4""                5/16""",,100 Pcs.
Slotted,10187PK,"10 x 1 1/2""                5/16""",,100 Pcs.
Slotted,10188PK,"12 x 1/2""                5/16""",,100 Pcs.
Slotted,10189PK,"12 x 3/4""                5/16""",,100 Pcs.
Slotted,10190PK,"12 x 1""                  5/16""",,100 Pcs.
Slotted,10191PK,"12 x 1 1/4""                5/16""",,100 Pcs.
Slotted,10192PK,"12 x 1 1/2""                5/16""",,100 Pcs.
Slotted,1620PK,"14 x 3/4""                 3/8""",,50 Pcs.
Slotted,10193PK,"14 x 1""                   3/8""",,50 Pcs.
Slotted,10194PK,"14 x 1 1/4""                3/8""",,50 Pcs.
Hex Head,9227PK,"#8 x 1/2""                                 100",Zinc Finish,100 Pcs.
Hex Head,1077PK,"8 x 1/2""                       1/4""",,100 Pcs.
Hex Head,1078PK,"8 x 3/4""                       1/4""",,100 Pcs.
Hex Head,9791PK,"8 x 1""                        1/4""",,100 Pcs.
Hex Head,9792PK,"8 x 1 1/4""                      1/4""",,50 Pcs.
Hex Head,9353PK,"8 x 1 1/2""                      1/4""",,50 Pcs.
Hex Head,9841PK,"10 x 1/2""                      5/16""",,100 Pcs.
Hex Head,1079PK,"10 x 5/8""                      5/16""",,100 Pcs.
Hex Head,9346PK,"10 x 3/4""                      5/16""",,100 Pcs.
Hex Head,1080PK,"10 x 1""                        5/16""",,100 Pcs.
Hex Head,9793PK,"10 x 1 1/4""                     5/16""",,50 Pcs.
Hex Head,9794PK,"10 x 1 1/2""                     5/16""",,50 Pcs.
Hex Head,9843PK,"12 x 3/4""                      5/16""",,100 Pcs.
Hex Head,9795PK,"12 x 1""                        5/16""",,25 Pcs.
Hex Head,9796PK,"12 x 1 1/4""                     5/16""",,25 Pcs.
Hex Head,1970PK,"14 x 3/4""                      3/8""",,100 Pcs.
Hex Head,1971PK,"14 x 1""                        3/8""",,25 Pcs.
Hex Head,9797PK,"14 x 1 1/4""                     3/8""",,25 Pcs.
Hex Head,9842PK,"14 x 1 1/2""                     3/8""",,25 Pcs.
Hex Head,12215PK,"8 x 1/2""                       1/4""",,100 Pcs.
Hex Head,12216PK,"8 x 3/4""                       1/4""",,100 Pcs.
Hex Head,12217PK,"8 x 1""                        1/4""",,50 Pcs.
Hex Head,12222PK,"10 x 1/2""                      5/16""",,50 Pcs.
Hex Head,12223PK,"10 x 3/4""                      5/16""",,50 Pcs.
Hex Head,12224PK,"10 x 1""                        5/16""",,50 Pcs.
Hex Head,12816PK,4.2-1.41 x 16mm                           5,Black Finish,50 Pcs.
Hex Head,5552PK,4.2-1.41 x 20mm                           5,Black Finish,50 Pcs.
