Section,Part_Number,Size,Finish,Quantity
Phillips Pan,10006PK,"6-32 x 1 1/2""",,100 Pcs.
Phillips Pan,10007PK,"8-32 x 3/8""",,100 Pcs.
Phillips Pan,10008PK,"8-32 x 1/2""",,100 Pcs.
Phillips Pan,10009PK,"8-32 x 3/4""",,100 Pcs.
Phillips Pan,10010PK,"8-32 x 1""",,100 Pcs.
Phillips Pan,10011PK,"8-32 x 1 1/2""",,100 Pcs.
Phillips Pan,10012PK,"10-24 x 3/8""",,100 Pcs.
Phillips Pan,10013PK,"10-24 x 1/2""",,100 Pcs.
Phillips Pan,10014PK,"10-24 x 3/4""",,100 Pcs.
Phillips Pan,10015PK,"10-24 x 1""",,100 Pcs.
Phillips Pan,10016PK,"10-24 x 1 1/4""",,100 Pcs.
Phillips Pan,10017PK,"10-24 x 1 1/2""",,50 Pcs.
Phillips Pan,10018PK,"10-32 x 3/8""",,100 Pcs.
Phillips Pan,10019PK,"10-32 x 1/2""",,100 Pcs.
Phillips Pan,10020PK,"10-32 x 3/4""",,100 Pcs.
Phillips Pan,10021PK,"10-32 x 1""",,100 Pcs.
Phillips Pan,10022PK,"10-32 x 1 1/4""",,100 Pcs.
Phillips Pan,10023PK,"10-32 x 1 1/2""",,50 Pcs.
Phillips Pan,10024PK,"1/4-20 x 1/2""",,100 Pcs.
Phillips Pan,10025PK,"1/4-20 x 3/4""",,100 Pcs.
Phillips Pan,9166PK,"1/4-20 x 7/8""",,100 Pcs.
Phillips Pan,10026PK,"1/4-20 x 1""",,50 Pcs.
Phillips Pan,10027PK,"1/4-20 x 1 1/4""",,50 Pcs.
Phillips Pan,10028PK,"1/4-20 x 1 1/2""",,50 Pcs.
Phillips Pan,10029PK,"1/4-20 x 1 3/4""",,50 Pcs.
Phillips Pan,10030PK,"1/4-20 x 2""",,50 Pcs.
Phillips Oval,9210PK,"1/4-20 x 3/4""",Zinc Finish,50 Pcs.
Phillips Oval,9641PK,"1/4-20 x 1 1/4""",Zinc Finish,50 Pcs.
Slotted,12005PK,"1/4-20 x 1/2""",Zinc Finish,100 Pcs.
Phillips Pan,12485PK,4-.70 x 8mm,,100 Pcs.
Phillips Pan,12486PK,4-.70 x 10mm,,100 Pcs.
Phillips Pan,12487PK,4-.70 x 16mm,,100 Pcs.
Phillips Pan,12488PK,5-.80 x 8mm,,100 Pcs.
Phillips Pan,12489PK,5-.80 x 10mm,,100 Pcs.
Phillips Pan,10385PK,5-.80 x 12mm,,100 Pcs.
Phillips Pan,10195PK,5-.80 x 16mm,,100 Pcs.
Phillips Pan,12490PK,5-.80 x 20mm,,100 Pcs.
Phillips Pan,12491PK,5-.80 x 25mm,,100 Pcs.
Phillips Pan,11434PK,6-1.00 x 10mm,,100 Pcs.
Phillips Pan,2136PK,6-1.00 x 12mm,,100 Pcs.
Phillips Pan,1851PK,6-1.00 x 16mm,,50 Pcs.
Phillips Pan,9168PK,6-1.00 x 20mm,,50 Pcs.
Phillips Pan,12492PK,6-1.00 x 25mm,,50 Pcs.
Phillips Pan,12493PK,6-1.00 x 30mm,,50 Pcs.
Phillips Pan,12830PK,6-1.00 x 12mm                  8-18 Stain,Stainless,100 Pcs.
Phillips Pan,12831PK,6-1.00 x 16mm                  8-18 Stain,Stainless,100 Pcs.
Phillips Pan,12832PK,6-1.00 x 20mm                  8-18 Stain,Stainless,100 Pcs.
