Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Push Type Retainers,12650PK,"21/64"" (8.50mm) Hole Size 10mm Stem Length 12mm Head Diameter","21/64"" (8.50mm) Hole Size 10mm Stem Length 12mm Head Diameter Dark Gray Nylon",Gray Nylon,15 Pcs.,Mercedes # 123-990-00-92
Push Type Retainers,11412PK,"21/64"" (8.50mm) Hole Size 14mm Stem Length 20mm Flange Diameter","21/64"" (8.50mm) Hole Size 14mm Stem Length 20mm Flange Diameter Black Nylon",Black Nylon,25 Pcs.,"BMW# 51471911992, 51470146782,; Mercedes # 201-990-02-92"
Push Type Retainers,11919PK,"13/64"" (5mm) Hole Size 11 mm Stem Length 12mm Flange Diameter","13/64"" (5mm) Hole Size 11 mm Stem Length 12mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,25 Pcs.,
Push Type Retainers,12855PK,"13/64"" (5mm) Hole Size 11 mm Stem Length 12mm Flange Diameter","13/64"" (5mm) Hole Size 11 mm Stem Length 12mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,25 Pcs.,"Mercedes # 000-990-40-92,; Mercedes # 000-990-44-92"
Push Type Retainers,13334PK,"15/64"" (6mm) Hole Size 15mm Stem Length 17mm Flange Diameter","15/64"" (6mm) Hole Size 15mm Stem Length 17mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,10 Pcs.,Mercedes # 000-990-46-92
Push Type Retainers,12889PK,"1/4"" (6.30mm) Hole Size 11 mm Stem Length 16mm Flange Diameter","1/4"" (6.30mm) Hole Size 11 mm Stem Length 16mm Flange Diameter Black Nylon Phillips Screw Retainers",Black Nylon,15 Pcs.,"Mercedes # 123-990-05-92, 126-990-03-92"
Push Type Retainers,9968PK,"1/4"" (6.30mm) Hole Size 29/32"" Stem Length 5/8"" Flange Diameter 21/64"" (8.50mm) Hole Size 17mm Stem Length 30.50mm Flange Diameter","1/4"" (6.30mm) Hole Size 29/32"" Stem Length 5/8"" Flange Diameter Black Nylon Phillips Screw Retainers W706350-S3000, W710752-SSC 21/64"" (8.50mm) Hole Size 17mm Stem Length 30.50mm Flange Diameter Black Nylon Rocker Panel Moulding Ton< Screw Retainers",Black Nylon,25 Pcs.,"G.M. # 20664091; Ford # N803946-S, W706350-S300,; Chrysler# 6502871; Mercedes# 000-991-52-40; Mercedes# 001-990-01-92"
Door Trim Panel Retainers,13335PK,"15/64"" (6mm) Hole Size 11 mm Stem Length 13mm Head Diameter 3.50 - 13.50mm Panel Range","15/64"" (6mm) Hole Size 11 mm Stem Length 13mm Head Diameter 3.50 - 13.50mm Panel Range Black Nylon",Black Nylon,10 Pcs.,Mercedes# 000-997-91-86
Door Trim Panel Retainers,12464PK,"19/64"" (7.50mm) Hole Size 11 mm Stem Length 13mm Top Head Diameter","19/64"" (7.50mm) Hole Size 11 mm Stem Length 13mm Top Head Diameter White Nylon",White Nylon,10 Pcs.,Mercedes # 003-988-41-78
Door Trim Panel Retainers,15749PK,"5/16"" (8mm) Hole Size 13mm Stem Length 13.30mm Top Head Diameter","5/16"" (8mm) Hole Size 13mm Stem Length 13.30mm Top Head Diameter Yellow Nylon With Sealer",Yellow Nylon,15 Pcs.,Mercedes# 001-991-26-98
Door Trim Panel Retainers,12474PK,"5/16"" (8mm) Hole Size 12.50mm Stem Length 13mm Top Head Diameter","5/16"" (8mm) Hole Size 12.50mm Stem Length 13mm Top Head Diameter Green Nylon",,10 Pcs.,Audi # 6Y0867260; Mercedes# 007-988-99-78 007-988-34-78
Door Trim Panel Retainers,12800PK,"5/16"" (8mm) Hole Size 13mm Stem Length 13mm Top Head Diameter","5/16"" (8mm) Hole Size 13mm Stem Length 13mm Top Head Diameter Gray Nylon",Gray Nylon,10 Pcs.,Mercedes # 000-990-57-92
Door Trim Panel Retainers,10208PK,"21/64"" (8.50mm) Hole Size 13mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 13mm Stem Length 13mm Top Head Diameter White Nylon With Sealer",White Nylon,25 Pcs.,Mercedes# 006-988-43-78
"Door Pillar, Trim & Trunk Lining Retainers",9155PK,"21/64"" (8.50mm) Hole Size 13.30mm Stem Length 13mm Top Head Diameter","21/64"" (8.50mm) Hole Size 13.30mm Stem Length 13mm Top Head Diameter White Nylon With Sealer",White Nylon,15 Pcs.,"Mercedes# 000-991 -01-98, 011-988-76-78"
Door Trim Panel Retainers,13305PK,"23/64"" (9mm) Hole Size 14mm Stem Length 11.50mm Top Head Diameter Black Nylon                                                                "": I","23/64"" (9mm) Hole Size 14mm Stem Length 11.50mm Top Head Diameter Black Nylon                                                                "": I",Black Nylon,25 Pcs.,Mercedes # 463-933-02-78
Door Trim Panel Retainers,9583PK,9.50 x 16.50mm Head Size 13.50mm Stem Length 14.50mm Overall Length,9.50 x 16.50mm Head Size 13.50mm Stem Length 14.50mm Overall Length White Nylon Scuff Plate Retainers,White Nylon,25 Pcs.,Mercedes# 001-988-97-81
Trim Panel Retainers,12463PK,"23/64"" (9mm) Hole Size 15mm Stem Length 14mm Top Head Diameter","23/64"" (9mm) Hole Size 15mm Stem Length 14mm Top Head Diameter White Nylon Door",White Nylon,50 Pcs.,BMW# 51-41-1973-500; Mercedes# 000-991-71-71
Hood & Trunk Moulding Clips,13353PK,"7/32"" (5.50mm) Hole Size 6mm Stem Length 7mm Head Diameter","7/32"" (5.50mm) Hole Size 6mm Stem Length 7mm Head Diameter White Nylon",White Nylon,15 Pcs.,Mercedes# 201-997-22-81
