Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Moulding,9082PK,9mm Stem Width 13mm Stem Length 9.00 x 22.00mm Head Size 13mm Width 22mm Overall Length,9mm Stem Width 13mm Stem Length 9.00 x 22.00mm Head Size Black Nylon 13mm Width 22mm Overall Length Black Plastic,Black Nylon,25 Pcs.,"Mazda # G46L-50-EB1; G.M. # 94218027,H200-50-715; Isuzu # 8942180270, 58974-00008; Mazda # B092-50-715, BF67-S0715; Mitsubishi # MB153825; Toyota # 90467-13011,90467-12020"
Retainers Moulding,17073PK,"15/64"" (6mm) Hole Size 15mm Stem Length 10mm Head Diameter","15/64"" (6mm) Hole Size 15mm Stem Length 10mm Head Diameter Green Nylon With Sealer Pillar Retainers",,25 Pcs.,Mazda # KD53-50-M38
Moulding Retainers,15718PK,"25/64"" (10mm) Hole Size 9mm Stem Length 10.00 x 15.00mm Top Head Size","25/64"" (10mm) Hole Size 9mm Stem Length 10.00 x 15.00mm Top Head Size White Nylon",White Nylon,25 Pcs.,Mazda # E11451W24
Moulding Retainers,18113PK,"25/64"" (10mm) Hole Size 12mm Stem Length 13.00 x 17.00mm Top Head Size","25/64"" (10mm) Hole Size 12mm Stem Length 13.00 x 17.00mm Top Head Size Green Nylon With Sealer Rocker Panel Moulding Retainers",,15 Pcs.,Mazda # D10E-51-SJ3
Moulding Retainers,9126PK,"25/64"" (10mm) Hole Size 13mm Stem Length 18.50mm Flange Diameter","25/64"" (10mm) Hole Size 13mm Stem Length 18.50mm Flange Diameter Gray Nylon With Sealer Rocker Moulding Retainers",Gray Nylon,15 Pcs.,Mazda # TD12-51-SJ3A
Wheel Arch Moulding Retainers,18112PK,"25/64"" (10mm) Hole Size 14mm Stem Length 14mm Top Head Diameter","25/64"" (10mm) Hole Size 14mm Stem Length 14mm Top Head Diameter Gray Nylon",Gray Nylon,25 Pcs.,Mazda # KD53-51-W24
Retainers Moulding,18114PK,"25/64"" (10mm) Hole Size 14mm Stem Length 15mm Top Head Diameter","25/64"" (10mm) Hole Size 14mm Stem Length 15mm Top Head Diameter White Nylon With Sealer",White Nylon,15 Pcs.,Mazda # KD51-51-W24; Mazda
Retainers Moulding,18104PK,"7/16"" (11mm) Hole Size 9mm Stem Length 10.00 x 15.00mm Top Head Size","7/16"" (11mm) Hole Size 9mm Stem Length 10.00 x 15.00mm Top Head Size Gray Nylon With Sealer Stone Guard Moulding Retainers",Gray Nylon,25 Pcs.,Mazda # KD53-51-SJ3A
Moulding Retainers,12475PK,"31/64"" (12mm) Hole Size 14mm Stem Length 14mm Top Head Diameter","31/64"" (12mm) Hole Size 14mm Stem Length 14mm Top Head Diameter Black Nylon With Sealer",Black Nylon,10 Pcs.,Mazda # NE51-51-SJ3A
Moulding Retainers,12919PK,"5/16 x 1/2"" Hole Size 3/8"" Stem Length 1/2 x 13/16"" Top Head Size","5/16 x 1/2"" Hole Size 3/8"" Stem Length 1/2 x 13/16"" Top Head Size White Nylon With Sealer Front End Moulding Retainers",White Nylon,10 Pcs.,Ford # W705849-S300; Mazda # 9XG0-73-88X0
Moulding Retainers,16381PK,"25/32"" (20mm) Hole Size 11mm Stem Length 14.00 x 20.00mm Top Head Size","25/32"" (20mm) Hole Size 11mm Stem Length 14.00 x 20.00mm Top Head Size White Nylon With Sealer Rocker Moulding Retainers",White Nylon,25 Pcs.,Mazda # G22C-51-SJ3
Moulding Clips,12174PK,"1 1/32"" (26mm) Hole Size 10mm Stem Length 14.00 x 20.00mm Head Size","1 1/32"" (26mm) Hole Size 10mm Stem Length 14.00 x 20.00mm Head Size Gray Nylon With Sealer",Gray Nylon,10 Pcs.,Mazda # BP4L-51-SJ3
Bumper Cover Retainers,11862PK,15.50mm Width 23.10mm Length,15.50mm Width 23.10mm Length Stainless Steel,,50 Pcs.,Ford # F32Z-17C756-S; Mazda # GJ21-50-049
