Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Push Type,10368PK,"1/4"" (6.50mm) Hole Size 17.50mm Stem Length 18mm Flange Diameter 2.00 - 4.50mm Panel Range","1/4"" (6.50mm) Hole Size 17.50mm Stem Length 18mm Flange Diameter 2.00 - 4.50mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Chrysler # 6508863AA; Ford # W713610-S300; G.M. # 11589289
Retainers Push Type,10369PK,"1/4"" (6.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 4.50 - 7.00mm Panel Range","1/4"" (6.50mm) Hole Size 20mm Stem Length 18mm Flange Diameter 4.50 - 7.00mm Panel Range Black Nylon Push Type Retainers",Black Nylon,50 Pcs.,Chrysler # 6509049-AA; Ford # W714040-S300; G.M. # 11589290
Retainers Push Type,10367PK,"1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter 7.00 - 9.50mm Panel Range","1/4"" (6.50mm) Hole Size 22mm Stem Length 18mm Flange Diameter 7.00 - 9.50mm Panel Range Black Nylon Push Type Retainers",Black Nylon,25 Pcs.,Ford # W713331-S300; G.M. # 11589291
Retainers Push Type,18789PK,"9/32"" (7mm) Hole Size 9mm Stem Length 14mm Head Diameter","9/32"" (7mm) Hole Size 9mm Stem Length 14mm Head Diameter Black Nylon Push Type Retainers",Black Nylon,10 Pcs.,Ford # N807673-S; G.M. # 25612368
Retainers Push Type,15027PK,"9/32"" (7mm) Hole Size 12mm Stem Length 18mm Head Diameter","9/32"" (7mm) Hole Size 12mm Stem Length 18mm Head Diameter Black Nylon Lower Radiator Shield Push Type Retainers",Black Nylon,10 Pcs.,Ford # W716510-S300
Retainers Push Type,9138PK,"9/32"" (7mm) Hole Size 20mm Stem Length 18mm Head Diameter","9/32"" (7mm) Hole Size 20mm Stem Length 18mm Head Diameter Black Nylon Fender Apron Push Type Retainers",Black Nylon,25 Pcs.,Ford # W718088-S300
Retainers Push Type,12016PK,"9/32"" (7mm) Hole Size 23mm Stem Length 18mm Head Diameter","9/32"" (7mm) Hole Size 23mm Stem Length 18mm Head Diameter Black Nylon Fascia Retainers",Black Nylon,25 Pcs.,"Ford # N803716-S, 803716-S; Ford"
Retainers Push Type,5676PK,"5/16"" (8mm) Hole Size 13.50mm Stem Length 17mm Flange Diameter","5/16"" (8mm) Hole Size 13.50mm Stem Length 17mm Flange Diameter Black Nylon Radiator Push Type Retainers",Black Nylon,25 Pcs.,"Chrysler # 175720B010; Ford # 04388293; G.M. # 14071289, 14019226"
Retainers Push Type,9292PK,"5/16"" (8mm) Hole Size 10mm Stem Length 20mm Flange Diameter","5/16"" (8mm) Hole Size 10mm Stem Length 20mm Flange Diameter Black Nylon Front Fender Push Type Retainers",Black Nylon,15 Pcs.,Ford # W711712-S300; Honda # 91501-S04-003
Retainers Push Type,1861PK,"5/16"" (8mm) Hole Size 20mm Stem Length 15mm Flange Diameter","5/16"" (8mm) Hole Size 20mm Stem Length 15mm Flange Diameter Black Nylon Rocker Panel Retainers",Black Nylon,25 Pcs.,Chrysler # 6504555; Ford # F3LB-14K056-AA; G.M. # 21075686
