Section,Part_Number,Size,Finish,Quantity,OEM_Number
Bolts,14601PK,14-2.00 x 40mm              21mm,,10 Pcs.,
Bolts,14603PK,14-2.00 x 50mm              21mm,,10 Pcs.,
Bolts,14605PK,14-2.00 x 60mm              21mm,,5 Pcs.,
Bolts,14607PK,14-2.00 x 70mm              21mm,,5 Pcs.,
Bolts,14609PK,14-2.00 x 80mm                     21mm,,5 Pcs.,
Bolts,14632PK,16-2.00 x 25mm                     24mm,,5 Pcs.,
Bolts,14633PK,16-2.00 x 30mm                     24mm,,5 Pcs.,
Bolts,14635PK,16-2.00 x 40mm                     24mm,,5 Pcs.,
Bolts,14637PK,16-2.00 x 50mm                     24mm,,5 Pcs.,
Bolts,14639PK,16-2.00 x 60mm                     24mm,,5 Pcs.,
Bolts,14641PK,16-2.00 x 70mm                     24mm,,5 Pcs.,
Bolts,14643PK,16-2.00 x 80mm                     24mm,,5 Pcs.,
Washers,14828PK,6mm                  6.30mm,,100 Pcs.,
Washers,14830PK,8mm                  8.40mm,,100 Pcs.,
Washers,14831PK,10mm                 10.50mm,,50 Pcs.,
Washers,14832PK,12mm                  13mm,,25 Pcs.,
Washers,14833PK,14mm                  15mm,,25 Pcs.,
Washers,14834PK,16mm                  17mm,,25 Pcs.,
Washers,14815PK,6mm                  6.10mm,,100 Pcs.,
Washers,14817PK,8mm                  8.10mm,,100 Pcs.,
Washers,14818PK,10mm                 10.20mm,,50 Pcs.,
Washers,14819PK,12mm                 12.20mm,,25 Pcs.,
Washers,14820PK,14mm                 14.20mm,,25 Pcs.,
Washers,14821PK,16mm                 16.20mm,,25 Pcs.,
Nuts,14802PK,6-1.00mm                         10mm,,100 Pcs.,
Nuts,14804PK,8-1.25mm                         13mm,,100 Pcs.,
Nuts,14805PK,10-1.50mm                        17mm,,50 Pcs.,
Nuts,14806PK,12-1.75mm                        19mm,,25 Pcs.,
Nuts,14807PK,14-2.00mm                        21mm,,25 Pcs.,
Nuts,14808PK,16-2.00mm                        24mm,,25 Pcs.,
Bolts,12636PK,5-.80 x 16mm        8mm                12.00mm,Bright Zinc,50 Pcs.,
Bolts,12637PK,5-.80 x 20mm        8mm                12.00mm,Bright Zinc,50 Pcs.,
Bolts,12638PK,5-.80 x 25mm        8mm                12.00mm,Bright Zinc,50 Pcs.,
Bolts,3203PK,6-1.00 x 12mm      10mm                 14.00mm,Bright Zinc,50 Pcs.,
Bolts,3204PK,6-1.00 x 16mm      10mm                 14.00mm,Bright Zinc,50 Pcs.,
Bolts,3205PK,6-1.00 x 20mm      10mm                 14.00mm,Bright Zinc,50 Pcs.,
Bolts,3206PK,6-1.00 x 25mm      10mm                 14.00mm,Bright Zinc,25 Pcs.,
Bolts,3207PK,6-1.00 x 30mm      10mm                 14.00mm,Bright Zinc,25 Pcs.,
Bolts,3208PK,6-1.00 x 35mm      10mm                 14.00mm,Bright Zinc,25 Pcs.,
Bolts,3209PK,6-1.00 x 40mm       10mm                14.00mm,Bright Zinc,25 Pcs.,
Bolts,9824PK,6-1.00 x 45mm      10mm                 14.00mm,Bright Zinc,15 Pcs.,
Bolts,12523PK,6-1.00 x 50mm      10mm                 14.00mm,Bright Zinc,10 Pcs.,
Bolts,12524PK,6-1.00 x 55mm      10mm                 14.00mm,Bright Zinc,10 Pcs.,
Bolts,12525PK,6-1.00 x 60mm      10mm                 14.00mm,Bright Zinc,10 Pcs.,
