Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers,9580PK,"15/32"" (12mm) Hole Size 12mm Stem Length 24mm Flange Diameter","15/32"" (12mm) Hole Size 12mm Stem Length 24mm Flange Diameter Black Nylon Radiator Support & Air Deflector Retainers",Black Nylon,10 Pcs.,Jaguar# XR831159
Headliner Retainers,10387PK,14.50mm Width 39.30mm Length,14.50mm Width 39.30mm Length Black Nylon,Black Nylon,15 Pcs.,Jaguar# C2Z11575
Headliner Retainers,10386PK,16mmWidth 51mm Length,16mmWidth 51mm Length Black Nylon,Black Nylon,15 Pcs.,Jaguar# C2Z11576
