Section,Part_Number,Size,Finish,Quantity,OEM_Number
Screws,11538PK,"9/16-12 x 1""       13/16""    15 Pcs.        11585P",,15 Pcs.,
Screws,11539PK,"9/16-12 x 1 1/4""    13/16""    15 Pcs.        11586",,15 Pcs.,
Screws,11540PK,"9/16-12 x 1 1/2""    13/16""    15 Pcs.        11587",,15 Pcs.,
Screws,11541PK,"9/16-12 x 1 3/4""    13/16""    15 Pcs.        11588",,15 Pcs.,
Screws,11542PK,"9/16-12 x 2""       13/16""    10 Pcs.        11589P",,10 Pcs.,
Screws,11543PK,"9/16-12 x 2 1/4""    13/16""    10 Pcs.        11591",,10 Pcs.,
Screws,11544PK,"9/16-12 x 2 1/2""    13/16""    10 Pcs.        11594",,10 Pcs.,
Screws,11545PK,"9/16-12 x 2 3/4""    13/16""    10 Pcs.        11596",,10 Pcs.,
Screws,11546PK,"9/16-12 x 3""       13/16""    10 Pcs.        11597P",,10 Pcs.,
Screws,11547PK,"9/16-12 x 3 1/2""    13/16""    10 Pcs.        11598",,10 Pcs.,
Screws,11548PK,"9/16-12 x 4""      13/16""    10 Pcs.        11599PK",,10 Pcs.,
Screws,11549PK,"9/16-12 x 4 1/2""    13/16""    10 Pcs.        11600",,10 Pcs.,
Screws,11550PK,"9/16-12 x 5""      13/16""    10 Pcs.        11601PK",,10 Pcs.,
Screws,11551PK,"9/16-12 x 5 1/2""    13/16""    10 Pcs.        11602",,10 Pcs.,
Screws,11552PK,"9/16-12 x 6""       13/16""    10 Pcs.        11603P",,10 Pcs.,
Screws,11553PK,"5/8-11 x 1""       15/16""    15 Pcs.        11604PK",,15 Pcs.,
Screws,11554PK,"5/8-11 x 1 1/4""     15/16""    15 Pcs.        11605",,15 Pcs.,
Screws,11555PK,"5/8-11 x 1 1/2""     15/16""    10 Pcs.        11607",,10 Pcs.,
Screws,11556PK,"5/8-11 x 1 3/4""     15/16""    10 Pcs.        11608",,10 Pcs.,
Screws,11557PK,"5/8-11 x 2""       15/16""    10 Pcs.        11612PK",,10 Pcs.,
Screws,11558PK,"5/8-11 x 2 1/4""     15/16""    10 Pcs.        11613",,10 Pcs.,
Screws,11559PK,"5/8-11 x 2 1/2""     15/16""    10 Pcs.        11614",,10 Pcs.,
Screws,11560PK,"5/8-11 x 2 3/4""     15/16""    10 Pcs.        11615",,10 Pcs.,
Screws,11561PK,"5/8-11 x 3""       15/16""    10 Pcs.        11616PK",,10 Pcs.,
Screws,11562PK,"5/8-11 x 3 1/2""     15/16""    10 Pcs.        11617",,10 Pcs.,
Screws,11563PK,"5/8-11 x 4""       15/16""    10 Pcs.        11618PK",,10 Pcs.,
Screws,11564PK,"5/8-11 x 4 1/2""     15/16""    10 Pcs.        11619",,10 Pcs.,
Screws,11565PK,"5/8-11 x 5""       15/16""    10 Pcs.        11620PK",,10 Pcs.,
Screws,11566PK,"5/8-11 x 5 1/2""     15/16""     5 Pcs.        11624",,5 Pcs.,
Screws,11567PK,"5/8-11 x 6""       15/16""     5 Pcs.",,5 Pcs.,
Screws,11569PK,"5/8-11 x 7""       15/16""      1 Pc. NEW",,1 Pc.,
Screws,11572PK,"5/8-11 x 8 1/2""     15/16""      1 Pc.",,1 Pc.,
Screws,11575PK,"3/4-10 x 1""       1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11576PK,"3/4-10 x 1 1/4""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11577PK,"3/4-10 x 1 1/2""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11578PK,"3/4-10 x 1 3/4""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11579PK,"3/4-10 x 2""       1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11580PK,"3/4-10 x 2 1/4""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11581PK,"3/4-10 x 2 1/2""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11582PK,"3/4-10 x 2 3/4""     1 1/8""    10 Pcs.",,10 Pcs.,
Screws,11583PK,"3/4-10 x 3""       1 1/8""    10 Pcs. 150,000 P.S.I.",,10 Pcs.,
Screws,11626PK,"1/4-28 x 1/2""       7/16""           50 Pcs.   1166",,50 Pcs.,
Screws,11627PK,"1/4-28 x 3/4""       7/16""           50 Pcs.   1166",,50 Pcs.,
Screws,11628PK,"1/4-28 x 1""        7/16""           50 Pcs.   11669",,50 Pcs.,
Screws,11629PK,"1/4-28 x 1 1/4""      7/16""           50 Pcs.   116",,50 Pcs.,
Screws,11630PK,"1/4-28 x 1 1/2""      7/16""           50 Pcs.   116",,50 Pcs.,
Screws,11631PK,"1/4-28 x 1 3/4""      7/16""           50 Pcs.   116",,50 Pcs.,
Screws,11632PK,"1/4-28 x 2""        7/16""           50 Pcs.   11673",,50 Pcs.,
Screws,11633PK,"1/4-28 x 2 1/4""      7/16""           25 Pcs.   116",,25 Pcs.,
Screws,11634PK,"1/4-28 x 2 1/2""      7/16""           25 Pcs.   116",,25 Pcs.,
Screws,11635PK,"1/4-28 x 2 3/4""      7/16""           25 Pcs.   116",,25 Pcs.,
Screws,11636PK,"1/4-28 x 3""        7/16""           25 Pcs.   11677",,25 Pcs.,
Screws,11637PK,"1/4-28 x 3 1/2""      7/16""           25 Pcs.   116",,25 Pcs.,
Screws,11638PK,"1/4-28 x 4""        7/16""           25 Pcs.   11679",,25 Pcs.,
Screws,11639PK,"1/4-28 x 4 1/2""      7/16""           15 Pcs.   116",,15 Pcs.,
Screws,11640PK,"1/4-28 x 5""        7/16""           10 Pcs.   11681",,10 Pcs.,
Screws,11641PK,"1/4-28 x 5 1/2""      7/16""           10 Pcs.   116",,10 Pcs.,
Screws,11642PK,"1/4-28 x 6""        7/16""           10 Pcs.   11683",,10 Pcs.,
Screws,11643PK,"5/16-24 x 1/2""        1/2""           50 Pcs.   116",,50 Pcs.,
Screws,11644PK,"5/16-24 x 3/4""        1/2""           50 Pcs.   116",,50 Pcs.,
Screws,11645PK,"5/16-24 x 1""         1/2""           50 Pcs.   1168",,50 Pcs.,
Screws,11646PK,"5/16-24 x 1 1/4""      1/2""           50 Pcs.   116",,50 Pcs.,
Screws,11647PK,"5/16-24 x 1 1/2""      1/2""           50 Pcs.   116",,50 Pcs.,
Screws,11648PK,"5/16-24 x 1 3/4""      1/2""           50 Pcs.   116",,50 Pcs.,
Screws,11649PK,"5/16-24 x 2""        1/2""           50 Pcs.   11690",,50 Pcs.,
