Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Installation Tools,18220PK,Installs 5.30mm Diameter Self Piercing Rivets Uses a Grade 8 Bolt Heavy Duty SPR,"Installs 5.30mm Diameter Self Piercing Rivets Uses a Grade 8 Bolt Heavy Duty SPR Insertion Tool Use with a 3/4"" or 19mm Socket on a 1/2"" Impact Wrench Double Sided Acrylic Tape Grey Tape with Red Liner                                             Use In: • High-Tack Adhesive on Both Sides                                   • Window Muntin Bars • Bonds to Clean , Oil Free, Dry Surfaces                            • Signs • Increased Compressability & Elongation                             • Graphics • Waterproof Bond                                                    • Furniture • Easy Application                                                   • Appliances • Withstands Thermal Movement                                        • Many other manufacturing & • Sound Deadening Properties                                           construction applications • Made in U.S.A. Meets G.M. test report requirements Contact Disco for technical data",,1 Pc.,
Tools & Supplies,13043PK,"1/4""                         60'                       .045""                    ","1/4""                         60'                       .045""                    1 Roll",,,
Tools & Supplies,3045PK,"1/2"" 7/8"" 60' 60' .045"" .045"" 1 Roll 1 Roll ~@","1/2"" 7/8"" 60' 60' .045"" .045"" 1 Roll 1 Roll ~@",,,
Tools & Supplies,9756PK,"1/8""            1/2""               50 Foot                  Sponge              ","1/8""            1/2""               50 Foot                  Sponge                Sold per Roll",,,
Tools & Supplies,18773PK,"5/32""            1/2""               50 Foot                  Sponge             ","5/32""            1/2""               50 Foot                  Sponge                Sold per Roll       NEW",,,
Tools & Supplies,18774PK,"5/16""            1/2""               50 Foot                  Sponge             ","5/16""            1/2""               50 Foot                  Sponge                Sold per Roll       NEW",,,
Tools & Supplies,18798PK,"1"" Width 12"" Length Hook& Loop Heavy Duty Adhesive Backing Black Mated Piece Vel","1"" Width 12"" Length Hook& Loop Heavy Duty Adhesive Backing Black Mated Piece Velcro Width               Roll Length               Material Type                 Use With               Qty. 1""                     75 Foot                     Hook                    #",,12 Pcs.,
Tools & Supplies,18797PK,1 Roll 75 Foot                     Loop                    #,1 Roll 75 Foot                     Loop                    #,,,
Tools & Supplies,18796PK,1 Roll Seals out the Elements - - ~Used When Door Glass and/or Windshield is Bro,1 Roll Seals out the Elements - - ~Used When Door Glass and/or Windshield is Broken Keeps parts from falling off during Transporting Removes easily without pul ling paint •,,,
Tools & Supplies,18349PK,"Clear Plastic              24""                 200'                   3         ","Clear Plastic              24""                 200'                   3                 one side      1 Roll",,,
Tools & Supplies,18350PK,"Clear Plastic              36""                 200'                   3         ","Clear Plastic              36""                 200'                   3                 one side      1 Roll",,,
Tools & Supplies,12181PK,"Blue 2 7/8"" Overall Length Mini Torch Without Butane Has attached key ring","Blue 2 7/8"" Overall Length Mini Torch Without Butane Has attached key ring",,1 Pc.,
Tools & Supplies,12194PK,"3/8"" Wide 3/4"" Trim          6""             #1 Tin Handle            Black Horse","3/8"" Wide 3/4"" Trim          6""             #1 Tin Handle            Black Horse Hair           1 Gross (144)",,,
Tools & Supplies,12195PK,"1/2"" Wide 13/16"" Trim         6""             #2 Tin Handle            Black Hors","1/2"" Wide 13/16"" Trim         6""             #2 Tin Handle            Black Horse Hair           1 Gross (144)",,,
Tools & Supplies,12196PK,"9/16"" Wide 13/16"" Trim         6""             #3 Tin Handle            Black Hor","9/16"" Wide 13/16"" Trim         6""             #3 Tin Handle            Black Horse Hair           1 Gross (144)",,,
Tools & Supplies,12317PK,72 Towels per Bucket Scrubs In-A-Bucket Cleaner Towels 1 case = 6 Buckets Must O,"72 Towels per Bucket Scrubs In-A-Bucket Cleaner Towels 1 case = 6 Buckets Must Order By The Box! Tiger Grip                                                                                        • Commercial Grade Orange Hi-Vis Nitrile Disposable Gloves                                                                              • Powder & Latex Free            ~@ • Raised Textured Surface This Gloves Thickness                                                                       For Superior Wet/ Dry Grip - - - Causes a Tighter Fit.                                                                   • Highly Resistant to Puncture • Protects Hands From Solvents, Grease & Oils",,1 Pc.,
Tools & Supplies,17411PK,"Large                        ?mil                      9""                   Oran","Large                        ?mil                      9""                   Orange",,1 Pc.,
Tools & Supplies,17412PK,"X Large                       ?mil                      9""                   Ora","X Large                       ?mil                      9""                   Orange",,1 Pc.,
Tools & Supplies,17413PK,"XX large                      ?mil                      9""                   Ora","XX large                      ?mil                      9""                   Orange Must Order By The Box! • Powder & Latex Free Grease Bully Black Nitrile                                                      • Raised Textured Surface Disposable Gloves                                                   For Superior Wet / Dry Grip • 50% Stronger Than Very Popular!                                                    Standard Disposable Gloves • Highly Resistant to Puncture • Protects Hands From Solvents, Grease & Oils",,1 Pc.,
Tools & Supplies,17418PK,"Medium        6mil                  9""                  Black","Medium        6mil                  9""                  Black",,1 Pc.,
Tools & Supplies,17419PK,"Large        6mil                  9""                  Black","Large        6mil                  9""                  Black",,1 Pc.,
Tools & Supplies,17420PK,"X Large       6mil                  9""                  Black","X Large       6mil                  9""                  Black",,1 Pc.,
Tools & Supplies,17421PK,"XX large      6mil                  9""                  Black Must Order By The ","XX large      6mil                  9""                  Black Must Order By The Box! Python Grip                                                              • Commercial Grade Green Hi-Vis Nitrile Disposable Gloves                                                         • Powder & Latex Free Same Texture Pattern                                                       • Raised Textured Surface As Tiger Grip                                                          For Superior Wet/ Dry Grip • Highly Resistant to Puncture • Protects Hands From Solvents, Grease & Oils",,1 Pc.,
Tools & Supplies,17414PK,"Medium        6mil                  9""                  Green","Medium        6mil                  9""                  Green",,1 Pc.,
Tools & Supplies,17415PK,"Large        6mil                  9""                  Green","Large        6mil                  9""                  Green",,1 Pc.,
Tools & Supplies,17416PK,"X Large       6mil                  9""                  Green","X Large       6mil                  9""                  Green",,1 Pc.,
Tools & Supplies,17417PK,"XX large      6mil                  9""                  Green ~@","XX large      6mil                  9""                  Green ~@",,1 Pc.,
