Section,Part_Number,Size,Description,Finish,Quantity,OEM_Number
Retainers Door Trim Panel,18841PK,6mm Stud Size 16mm Flange Outside Diameter 10mm Hex Size 10mm Height Self Threading Flange Nutsz,6mm Stud Size 16mm Flange Outside Diameter 10mm Hex Size 10mm Height Black Nylon Fender Liner Self Threading Flange Nutsz,Black Nylon,25 Pcs,Land Rover # RYH5007780
Retainers Door Trim Panel,9682PK,"5/16"" (8mm) Hole Size 11mm Stem Length 14mm Top Head Diameter","5/16"" (8mm) Hole Size 11mm Stem Length 14mm Top Head Diameter White Nylon With Sealer Pillar Retainers",White Nylon,15 Pcs.,"Land Rover # LR034389, LR053837"
Retainers Moulding,16375PK,"5/16"" (8mm) Hole Size 15mm Stem Length 14.50mm Top Head Diameter","5/16"" (8mm) Hole Size 15mm Stem Length 14.50mm Top Head Diameter White Nylon With Sealer Luggage Compartment Retainers",White Nylon,15 Pcs.,Land Rover # LR013135
Push Type Retainers,16461PK,"15/64"" (6mm) Hole Size 13mm Stem Length 13mm Head Diameter","15/64"" (6mm) Hole Size 13mm Stem Length 13mm Head Diameter Black Nylon Pillar, Rocker & Floor Moulding",Black Nylon,15 Pcs.,Land Rover # LR033144
Moulding Retainers,10441PK,"5/16"" (8mm) Hole Size 8mm Stem Length 12.50mm Top Head Diameter","5/16"" (8mm) Hole Size 8mm Stem Length 12.50mm Top Head Diameter White & Yellow Nylon",Yellow Nylon,25 Pcs.,Land Rover # DYC101420
Moulding Retainers,16460PK,"23/64"" (9mm) Hole Size 15mm Stem Length 15.50mm Head Diameter","23/64"" (9mm) Hole Size 15mm Stem Length 15.50mm Head Diameter Black Nylon Pillar Post Moulding Retainers",Black Nylon,25 Pcs.,Land Rover # LR002229
